company_name,movie_id
Noel Gay Motion Picture Company,627
The Donners' Company,36668
The Donners' Company,76170
The Donners' Company,76170
Fox 2000 Pictures,381284
GH Three,8960
DreamWorks Animation,82702
Walt Disney Pictures,10674
CJ Entertainment,110415
20th Century Fox,602
Lakeshore Entertainment,70
Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,9738
Brandywine Productions,679
TriStar Pictures,17654
Elevation Pictures,264644
20th Century Fox,772
Imagine Entertainment,591
Universal Pictures,2501
Summit Entertainment,18239
Limited Edition Productions Inc.,9741
Bad Robot,54138
Rox Productions,47971
Paramount,87
DC Comics,13183
Legendary Pictures,124905
Legendary Pictures,124905
Canal+ Polska,423
Universal Pictures,564
Universal Pictures,564
Twisted Pictures,176
Plan B Entertainment,318846
DreamWorks Animation,810
SKA Films,107
Summit Entertainment,24021
Genre Films,68724
Tim Burton Productions,3933
Lonetree Entertainment,156022
Columbia Pictures,620
Paramount,954
Columbia Pictures,76492
New Line Cinema,254128
20th Century Fox,281338
Digital Image Associates,180
Truth Entertainment,152532
DreamWorks Pictures,8373
Broadway Video,10625
Universal Pictures,158015
Thunder Road,273481
Scott Free Productions,126889
Working Title Films,122906
Participant,314365
WT2 Productions,747
United Artists,429
GK Films,68734
Universal Pictures,330
Paramount,38356
Paramount,74
Paramount,744
The Mark Gordon Company,45612
Blue Sky Studios,8355
Walt Disney Pictures,278927
Illumination,328111
United Artists,389
Paramount,217
Original Film,51497
Weying Galaxy Entertainment,315837
di Bonaventura Pictures,91314
Touchstone Pictures,39254
Uncharted,339846
Dimension Films,187
1492 Pictures,50014
Universal Pictures,58595
United Artists,28
Columbia Pictures,187017
Illumination,335797
Columbia Pictures,198184
The Mark Gordon Company,435
Gracie Films,35
Castle Rock Entertainment,50544
Focus Features,4348
Mad Chance,4951
1492 Pictures,1979
Bad Robot,333371
Touchstone Pictures,114
K & S Films,256591
Touchstone Pictures,95
Eon Productions,10764
Walt Disney Pictures,10144
Universal Pictures,254
Lionsgate,22970
PolyGram Filmed Entertainment,275
Silver Pictures,106
Universal Pictures,341174
Columbia Pictures,137
Hoya Productions,9552
Amblin Entertainment,594
Village Roadshow Pictures,137106
Silver Pictures,290250
Nimar Studios,27578
Universal Pictures,340666
The Guber-Peters Company,268
Winkler Films,1366
Universal Pictures,2503
Summit Entertainment,2105
Pixar,49013
TSG Entertainment,116745
Sony Pictures,257344
Blue Sky Studios,57800
Fox Searchlight Pictures,44115
Virtual Studios,1372
Belga Films,339964
Universal Pictures,2502
1492 Pictures,32657
Focus Features,14836
Metro-Goldwyn-Mayer,312221
Metro-Goldwyn-Mayer,312221
Universal Pictures,4638
Smart Entertainment,214756
FilmEngine,1954
Walt Disney Productions,408
Pontchartrain Productions,59436
Walt Disney Pictures,11970
Annapurna Pictures,168672
Columbia Pictures,395992
DC Entertainment,44912
Ardustry Entertainment,584
Columbia Pictures,223702
Paramount,44826
Paramount,621
Tim Burton Productions,62213
DreamWorks Animation,10192
Mandate Pictures,7326
American Zoetrope,153
O2 Filmes,598
Columbia Pictures,587
Columbia Pictures,1824
dentsu,13804
Mikona Productions,65
Universal Pictures,8871
Malpaso Productions,363676
DreamWorks Animation,295693
Walt Disney Pictures,150689
Cloud Atlas Productions,83542
A24,376867
Columbia Pictures,8363
DreamWorks Animation,49519
Revolution Films,96721
Universal Pictures,331
Babieka Films,158852
Good Universe,195589
Kickstart,8909
Illumination,324852
Lionsgate,328387
BBC Film,14574
Bad Robot,7191
Village Roadshow Pictures,561
Original Film,9339
Fox Searchlight Pictures,773
Universal Pictures,9693
Skydance,75780
Screen Gems,37735
Universal Pictures,1734
Ground Control,65754
Focus Features,142
Columbia Pictures,109424
TSG Entertainment,296098
21 Laps Entertainment,18360
Very Special Projects,310131
Columbia Pictures,1487
Nickelodeon Movies,98566
DreamWorks Animation,10527
DreamWorks Animation,49444
Escape Artists,11321
Anarchos Productions,76757
Columbia Pictures,13448
Brad Grey Pictures,4247
Legendary Pictures,68735
The Zanuck Company,10201
Paramount,60304
FilmDistrict,49018
Warner Bros. Pictures,616
DreamWorks Animation,38055
Nu Image,76163
Walt Disney Pictures,37135
Universal Pictures,1091
Roth Films,68728
DreamWorks Animation,81188
Skydance,188927
MP Munich Pape Filmproductions,9615
Millennium Media,117263
Brownstone Productions,114150
Columbia Pictures,82700
EuropaCorp,82675
Waverly Films,257211
The Weinstein Company,334543
Bad Robot,37686
Paramount,2668
Blue Sky Studios,46195
Kurtzman/Orci,18240
Paramount,956
Dimension Films,4232
Geffen Pictures,4011
Walt Disney Pictures,11688
Columbia Pictures,296
Lakeshore Entertainment,293863
Miramax,3131
Summit Entertainment,100
Legendary Pictures,53182
Mid Atlantic Films,47964
Working Title Films,508
Why Not Productions,238636
Warner Bros. Pictures,322
Legend3D,241259
Littlestar,11631
Electric City Entertainment,334533
Columbia Pictures,534
Paramount Vantage,7345
Warner Bros. Pictures,364
PolyGram Filmed Entertainment,2649
Paramount,44896
Jerry Bruckheimer Films,676
