franchise_id,franchise_name,franchise_url,total_gross,num_movies,average_gross,highest_grossing_movie,Franchise,No. of Movies,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,First Year,Last Year,No. of Years
386,Safe House,https://www.the-numbers.com/movies/franchise/Safe-House,1,"$126,181,630","$170,884,161","$207,884,401",Safe House,1,"$126,181,630","$170,884,161","$207,884,401",2012,2012,
388,Dark Universe,https://www.the-numbers.com/movies/franchise/Dark-Universe,3,"$136,093,005","$170,143,349","$630,195,628",Dark Universe,3,"$136,093,005","$170,143,349","$630,195,628",2014,2020,6
389,El Mariachi,https://www.the-numbers.com/movies/franchise/El-Mariachi,3,"$83,903,965","$169,291,525","$124,987,843",El Mariachi,3,"$83,903,965","$169,291,525","$124,987,843",1993,2003,10
390,Carrie,https://www.the-numbers.com/movies/franchise/Carrie,2,"$43,638,397","$168,658,253","$43,704,799",Carrie,2,"$43,638,397","$168,658,253","$43,646,980",1976,1999,23
391,Why Did I Get Married,https://www.the-numbers.com/movies/franchise/Why-Did-I-Get-Married,3,"$115,300,377","$168,605,927","$116,765,245",Why Did I Get Married,3,"$115,300,377","$168,605,927","$116,765,245",2006,2010,4
392,Scorpion King,https://www.the-numbers.com/movies/franchise/Scorpion-King-,4,"$90,580,000","$168,064,092","$165,890,634",Scorpion King,4,"$90,580,000","$168,064,092","$165,890,634",2002,2018,16
393,House Party,https://www.the-numbers.com/movies/franchise/House-Party,4,"$65,018,837","$167,891,191","$65,018,837",House Party,4,"$65,018,837","$167,891,191","$65,018,837",1990,2012,22
395,Ripley,https://www.the-numbers.com/movies/franchise/Ripley,2,"$81,292,135","$167,438,280","$130,484,774",Ripley,2,"$81,292,135","$167,438,280","$130,484,774",1999,2003,4
396,The Best Man,https://www.the-numbers.com/movies/franchise/Best-Man-The,3,"$104,627,975","$165,781,826","$107,408,490",The Best Man,3,"$104,627,975","$165,781,826","$107,408,490",1999,2016,17
400,Winnie the Pooh,https://www.the-numbers.com/movies/franchise/Winnie-the-Pooh,6,"$86,744,277","$162,824,451","$214,705,178",Winnie the Pooh,6,"$86,744,277","$162,824,451","$214,705,178",1977,2008,31
402,Salt,https://www.the-numbers.com/movies/franchise/Salt,1,"$118,311,368","$161,647,221","$290,650,494",Salt,1,"$118,311,368","$161,647,221","$290,650,494",2010,2010,
403,Escape from New York,https://www.the-numbers.com/movies/franchise/Escape-From-New-York,2,"$50,671,561","$159,905,238","$50,703,211",Escape from New York,2,"$50,671,561","$159,905,238","$50,703,211",1981,1996,15
405,Chinatown,https://www.the-numbers.com/movies/franchise/Chinatown,2,"$33,175,806","$159,127,558","$33,176,963",Chinatown,2,"$33,175,806","$159,127,558","$33,176,963",1974,1990,16
